Kapitel,Paragraf,Ord
1,30,jag
1,30,skulle
1,30,inte
1,30,vara
1,30,utom
1,30,dörren
1,30,förrän
1,30,du
1,30,började
1,30,spela
1,30,du
1,30,är
1,30,så
1,30,van
1,30,vid
1,30,det
1,30,nu
1,30,du
1,30,kunde
1,30,inte
1,30,stå
1,30,emot
1,30,om
1,30,du
1,30,hade
1,30,den
1,30,här
1,30,sådant
1,30,där
1,30,kan
1,30,man
1,30,inte
1,30,övervinna
1,30,om
1,30,man
1,30,inte
1,30,får
1,30,hjälp
1,30,det
1,30,blir
1,30,en
1,30,övermäktigt»
1,31,hede
1,31,stod
1,31,motvillig
1,31,»det
1,31,är
1,31,ju
1,31,galenskaper»
1,31,sade
1,31,han
1,32,»ånej
1,32,du
1,32,det
1,32,är
1,32,inga
1,32,galenskaper
1,32,du
1,32,vet
1,32,ju
1,32,att
1,32,du
1,32,har
1,32,fått
1,32,det
1,32,i
1,32,arv
1,32,av
1,32,bergsrådet
1,32,det
1,32,ligger
1,32,dig
1,32,i
1,32,blodet
1,32,att
1,32,spela
1,32,och
1,32,allt
1,32,sedan
1,32,du
1,32,blev
1,32,din
1,32,egen
1,32,herre
1,32,här
1,32,i
1,32,uppsala
1,32,har
1,32,du
1,32,inte
1,32,gjort
1,32,annat
1,32,du
1,32,bor
1,32,ju
1,32,så
1,32,här
1,32,långt
1,32,ute
1,32,i
1,32,stadskanten
1,32,bara
1,32,för
1,32,att
1,32,inte
1,32,störa
1,32,någon
1,32,med
1,32,ditt
1,32,spel
1,32,du
1,32,kan
1,32,inte
1,32,hjälpa
1,32,dig
1,32,själv
1,32,i
1,32,den
1,32,här
1,32,saken
1,32,låt
1,32,mig
1,32,ta
1,32,fiolen»
1,33,»ja
1,33,förr»
1,33,sade
1,33,hede
1,33,»hade
1,33,jag
1,33,inte
1,33,kunnat
1,33,låta
1,33,bli
1,33,att
1,33,spela
1,33,men
1,33,nu
1,33,gäller
1,33,det
1,33,munkhyttan
1,33,jag
1,33,tycker
1,33,mer
1,33,om
1,33,mitt
1,33,hem
1,33,än
1,33,min
1,33,fiol»
1,34,men
1,34,ålin
1,34,stod
1,34,där
1,34,lika
1,34,envis
1,34,och
1,34,bad
1,34,om
1,34,fiolen
1,35,»vad
1,35,tjänar
1,35,det
1,35,till?»
1,35,sade
1,35,hede
1,35,»vill
1,35,jag
1,35,spela
1,35,så
1,35,behöver
1,35,jag
1,35,inte
1,35,gå
1,35,många
1,35,steg
1,35,för
1,35,att
1,35,låna
1,35,mig
1,35,en
1,35,annan
1,35,fiol»
1,36,»det
1,36,vet
1,36,jag»
1,36,svarade
1,36,ålin
1,36,»men
1,36,jag
1,36,tror
1,36,inte
1,36,det
1,36,är
1,36,så
1,36,farligt
1,36,med
1,36,en
1,36,annan
1,36,fiol
1,36,det
1,36,är
1,36,den
1,36,här
1,36,gamla
1,36,italienska
1,36,fiolen
1,36,som
1,36,är
1,36,värsta
1,36,faran
1,36,för
1,36,dig
1,36,och
1,36,dessutom
1,36,tänker
1,36,jag
1,36,föreslå
1,36,att
1,36,du
1,36,låter
1,36,stänga
1,36,dig
1,36,inne
1,36,under
1,36,de
1,36,första
1,36,dagarna
1,36,bara
1,36,tills
1,36,du
1,36,kommer
1,36,dig
1,36,i
1,36,gång»
1,37,han
1,37,bad
1,37,och
1,37,bad
1,37,men
1,37,hede
1,37,stred
1,37,emot
1,37,han
1,37,ville
1,37,inte
1,37,underkasta
1,37,sig
1,37,något
1,37,så
1,37,löjligt
1,37,som
1,37,arrest
1,37,på
1,37,sitt
1,37,rum
1,37,ålin
1,37,blev
1,37,blossande
1,37,röd
1,38,»jag
1,38,skall
1,38,ha
1,38,fiolen
1,38,med
1,38,mig»
1,38,sade
1,38,han
1,38,»eljest
1,38,har
1,38,allt
1,38,detta
1,38,tjänat
1,38,till
1,38,ingenting»
1,38,han
1,38,talade
1,38,hetsigt
1,38,och
1,38,ivrigt
1,38,»jag
1,38,hade
1,38,inte
1,38,velat
1,38,säga
1,38,något
1,38,om
1,38,det
1,38,men
1,38,jag
1,38,vet
1,38,att
1,38,det
1,38,gäller
1,38,än
1,38,mer
1,38,än
1,38,munkhyttan
1,38,för
1,38,dig
1,38,jag
1,38,såg
1,38,en
1,38,flicka
1,38,här
1,38,på
1,38,promotionsbalen
1,38,förra
1,38,våren
1,38,som
1,38,man
1,38,sade
1,38,skulle
1,38,vara
1,38,förlovad
1,38,med
1,38,dig
1,38,nå
1,38,jag
1,38,brukar
1,38,inte
1,38,dansa
1,38,men
1,38,jag
1,38,hade
1,38,min
1,38,glädje
1,38,av
1,38,att
1,38,se
1,38,på
1,38,henne
1,38,hur
1,38,hon
1,38,flög
1,38,fram
1,38,i
1,38,dansen
1,38,och
1,38,hur
1,38,hon
1,38,strålade
1,38,och
1,38,lyste
1,38,som
1,38,ett
1,38,ängsblomster
1,38,och
1,38,då
1,38,jag
1,38,hörde
1,38,att
1,38,hon
1,38,var
1,38,förlovad
1,38,med
1,38,dig
1,38,gjorde
1,38,det
1,38,mig
1,38,ont
1,38,om
1,38,henne»
1,39,»gjorde
1,39,det?»
1,40,»åja
1,40,jag
1,40,visste
1,40,ju
1,40,att
1,40,det
1,40,inte
1,40,skulle
1,40,bli
1,40,något
1,40,av
1,40,dig
1,40,om
1,40,du
1,40,fortsatte
1,40,så
1,40,som
1,40,du
1,40,har
1,40,börjat
1,40,och
1,40,så
1,40,svor
1,40,jag
1,40,på
1,40,att
1,40,det
1,40,barnet
1,40,inte
1,40,skulle
1,40,behöva
1,40,sitta
1,40,hela
1,40,sitt
1,40,liv
1,40,och
1,40,vänta
1,40,på
1,40,den
1,40,som
1,40,aldrig
1,40,kom
1,40,hon
1,40,skulle
1,40,inte
1,40,bli
1,40,sittande
1,40,och
1,40,torka
1,40,bort
1,40,under
1,40,väntan
1,40,på
1,40,dig
1,40,jag
1,40,vill
1,40,inte
1,40,möta
1,40,henne
1,40,om
1,40,några
1,40,år
1,40,med
1,40,tillspetsade
1,40,drag
1,40,och
1,40,djupa
1,40,rynkor
1,40,omkring
1,40,munnen»
1,41,han
1,41,avbröt
1,41,sig
1,41,hedes
1,41,blick
1,41,hade
1,41,vilat
1,41,besynnerligt
1,41,forskande
1,41,på
1,41,honom
1,42,men
1,42,gunnar
1,42,hede
1,42,hade
1,42,redan
1,42,förstått
1,42,att
1,42,ålin
1,42,tyckte
1,42,om
1,42,hans
1,42,fästmö
1,42,det
1,42,rörde
1,42,honom
1,42,djupt
1,42,att
1,42,denne
1,42,ville
1,42,rädda
1,42,honom
1,42,under
1,42,dessa
1,42,förhållanden
1,42,och
1,42,under
1,42,inflytande
1,42,av
1,42,denna
1,42,känsla
1,42,gav
1,42,han
1,42,vika
1,42,och
1,42,lämnade
1,42,honom
1,42,fiol-lådan
1,43,då
1,43,ålin
1,43,var
1,43,gången
1,43,läste
1,43,hede
1,43,en
1,43,hel
1,43,timme
1,43,som
1,43,en
1,43,förtvivlad
1,43,men
1,43,så
1,43,kastade
1,43,han
1,43,boken
1,44,det
1,44,lönade
1,44,sig
1,44,just
1,44,att
1,44,läsa
1,44,han
1,44,skulle
1,44,vara
1,44,färdig
1,44,om
1,44,en
1,44,tre
1,44,fyra
1,44,år
1,44,och
1,44,vem
1,44,kunde
1,44,svara
1,44,för
1,44,att
1,44,inte
1,44,egendomen
1,44,såldes
1,44,under
1,44,tiden?
1,45,han
1,45,kände
1,45,nästan
1,45,med
1,45,förskräckelse
1,45,hur
1,45,han
1,45,älskade
1,45,det
1,45,gamla
1,45,stället
1,45,det
1,45,var
1,45,riktig
1,45,förtrollning
1,45,varje
1,45,rum
1,45,varje
1,45,träd
1,45,stod
1,45,framför
1,45,honom
1,45,ingenting
1,45,av
1,45,detta
1,45,kunde
1,45,han
1,45,undvara
1,45,om
1,45,han
1,45,skulle
1,45,känna
1,45,sig
1,45,lycklig
1,46,och
1,46,han
1,46,skulle
1,46,sitta
1,46,stilla
1,46,vid
1,46,boken
1,46,medan
1,46,det
1,46,höll
1,46,på
1,46,att
1,46,gå
1,46,ifrån
1,46,honom
1,47,han
1,47,blev
1,47,alltmer
1,47,orolig
1,47,kände
1,47,blodet
1,47,bulta
1,47,vid
1,47,tinningarna
1,47,som
1,47,i
1,47,feber
1,47,han
1,47,blev
1,47,då
1,47,alldeles
1,47,förtvivlad
1,47,över
1,47,att
1,47,inte
1,47,kunna
1,47,gripa
1,47,till
1,47,fiolen
1,47,och
1,47,spela
1,47,sig
1,47,lugn
1,48,»gud»
1,48,sade
1,48,han
1,48,»den
1,48,där
1,48,ålin
1,48,slutar
1,48,med
1,48,att
1,48,göra
1,48,mig
1,48,tokig
1,48,att
1,48,först
1,48,ge
1,48,mig
1,48,denna
1,48,underrättelse
1,48,och
1,48,så
1,48,beröva
1,48,mig
1,48,fiolen»
1,49,»en
1,49,människa
1,49,som
1,49,jag
1,49,måste
1,49,känna
1,49,en
1,49,stråke
1,49,under
1,49,fingrarna
1,49,i
1,49,sorg
1,49,som
1,49,i
1,49,glädje
1,49,jag
1,49,måste
1,49,göra
1,49,något
1,49,jag
1,49,måste
1,49,skaffa
1,49,pengar
1,49,men
1,49,jag
1,49,har
1,49,inte
1,49,en
1,49,tanke
1,49,i
1,49,huvudet
1,49,jag
1,49,kan
1,49,inte
1,49,tänka
1,49,utan
1,49,fiolen»
1,50,hede
1,50,rasade
1,50,över
1,50,att
1,50,sitta
1,50,instängd
1,50,hänvisad
1,50,till
1,50,böckerna
1,50,det
1,50,var
1,50,vansinne
1,50,att
1,50,sätta
1,50,sig
1,50,till
1,50,att
1,50,taga
1,50,en
1,50,långsam
1,50,examen
1,50,då
1,50,han
1,50,behövde
1,50,pengar
1,50,pengar
1,50,pengar
1,51,han
1,51,tålde
1,51,inte
1,51,medvetandet
1,51,att
1,51,vara
1,51,instängd
1,51,han
1,51,var
1,51,så
1,51,vred
1,51,på
1,51,ålin
1,51,som
1,51,hade
1,51,hittat
1,51,på
1,51,denna
1,51,dårskap
1,51,att
1,51,han
1,51,blev
1,51,rädd
1,51,för
1,51,att
1,51,han
1,51,skulle
1,51,komma
1,51,att
1,51,slå
1,51,honom
1,51,då
1,51,han
1,51,återvände
1,52,ja
1,52,visst
1,52,skulle
1,52,han
1,52,ha
1,52,spelat
1,52,om
1,52,han
1,52,hade
1,52,haft
1,52,fiolen
1,52,men
1,52,det
1,52,var
1,52,just
1,52,vad
1,52,han
1,52,behövde
1,52,göra
1,52,hans
1,52,blod
1,52,sjöd
1,52,ju
1,52,så
1,52,av
1,52,oro
