Kapitel,Paragraf,Ord
1,33,såg
1,33,heller
1,33,aldrig
1,33,någon
1,33,som
1,33,gjorde
1,33,något
1,33,och
1,33,det
1,33,oaktat
1,33,jag
1,33,var
1,33,i
1,33,sådana
1,33,anlitade
1,33,verk
1,33,som
1,33,kollegiet
1,33,för
1,33,brännvinsbränningen
1,33,kansliet
1,33,för
1,33,skatternas
1,33,påläggande
1,33,och
1,33,generaldirektionen
1,33,för
1,33,ämbetsmännens
1,33,pensioner
1,33,men
1,33,när
1,33,jag
1,33,såg
1,33,dessa
1,33,massor
1,33,av
1,33,tjänstemän
1,33,som
1,33,krälade
1,33,på
1,33,varandra
1,33,rann
1,33,den
1,33,tanken
1,33,på
1,33,mig
1,33,att
1,33,det
1,33,verk
1,33,som
1,33,skulle
1,33,utbetala
1,33,alla
1,33,dessas
1,33,löner
1,33,dock
1,33,måtte
1,33,ha
1,33,något
1,33,att
1,33,göra
1,33,jag
1,33,skrev
1,33,följaktligen
1,33,in
1,33,mig
1,33,i
1,33,kollegiet
1,33,för
1,33,utbetalandet
1,33,av
1,33,ämbetsmännens
1,33,löner
1,34,var
1,34,du
1,34,i
1,34,det
1,34,verket
1,34,frågade
1,34,struve
1,34,som
1,34,började
1,34,intresseras
1,35,ja
1,35,jag
1,35,kan
1,35,aldrig
1,35,glömma
1,35,det
1,35,stora
1,35,intryck
1,35,som
1,35,min
1,35,entré
1,35,i
1,35,detta
1,35,fullständigt
1,35,och
1,35,väl
1,35,organiserade
1,35,ämbetsverk
1,35,gjorde
1,35,på
1,35,mig
1,35,jag
1,35,kom
1,35,upp
1,35,klockan
1,35,elva
1,35,fm
1,35,emedan
1,35,verket
1,35,vid
1,35,den
1,35,tiden
1,35,skulle
1,35,öppnas
1,35,i
1,35,vaktmästarrummet
1,35,lågo
1,35,två
1,35,unga
1,35,vaktmästare
1,35,framstupa
1,35,på
1,35,ett
1,35,bord
1,35,och
1,35,läste
1,35,fäderneslandet
1,36,fäderneslandet?
1,37,struve
1,37,som
1,37,under
1,37,föregående
1,37,kastat
1,37,socker
1,37,åt
1,37,gråsparvarne
1,37,började
1,37,spetsa
1,37,öronen
1,38,ja
1,38,jag
1,38,hälsade
1,38,god
1,38,morgon
1,38,en
1,38,svag
1,38,ormlik
1,38,rörelse
1,38,efter
1,38,herrarnes
1,38,ryggar
1,38,antydde
1,38,att
1,38,min
1,38,hälsning
1,38,mottogs
1,38,utan
1,38,avgjord
1,38,motvilja;
1,38,den
1,38,ena
1,38,gjorde
1,38,till
1,38,och
1,38,med
1,38,en
1,38,gest
1,38,med
1,38,högra
1,38,stövelklacken
1,38,vilket
1,38,skulle
1,38,gälla
1,38,för
1,38,ett
1,38,handtag
1,38,jag
1,38,frågade
1,38,om
1,38,någon
1,38,av
1,38,herrarne
1,38,var
1,38,ledig
1,38,att
1,38,visa
1,38,mig
1,38,lokalen
1,38,de
1,38,förklarade
1,38,sig
1,38,förhindrade:
1,38,de
1,38,hade
1,38,order
1,38,att
1,38,icke
1,38,lämna
1,38,vaktrummet
1,38,jag
1,38,frågade
1,38,om
1,38,det
1,38,icke
1,38,fanns
1,38,flere
1,38,vaktmästare
1,38,jo
1,38,det
1,38,fanns
1,38,nog
1,38,flera
1,38,men
1,38,övervaktmästaren
1,38,hade
1,38,semester
1,38,förste
1,38,vaktmästaren
1,38,hade
1,38,tjänstledighet
1,38,andre
1,38,vaktmästaren
1,38,hade
1,38,permission
1,38,den
1,38,tredje
1,38,var
1,38,på
1,38,posten
1,38,den
1,38,fjärde
1,38,var
1,38,sjuk
1,38,den
1,38,femte
1,38,var
1,38,efter
1,38,dricksvatten
1,38,den
1,38,sjätte
1,38,var
1,38,på
1,38,gården
1,38,»och
1,38,där
1,38,sitter
1,38,han
1,38,hela
1,38,dan»;
1,38,för
1,38,övrigt
1,38,»brukade
1,38,aldrig
1,38,någon
1,38,tjänsteman
1,38,vara
1,38,uppe
1,38,förrän
1,38,vid
1,38,ett-tiden»
1,38,därvid
1,38,fick
1,38,jag
1,38,en
1,38,vink
1,38,om
1,38,det
1,38,opassande
1,38,i
1,38,mitt
1,38,tidiga
1,38,störande
1,38,besök
1,38,och
1,38,en
1,38,erinran
1,38,om
