Name,Sign,Measure area,Date,Year,Value
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,1959-12-31T00:00:00Z,1959,7.1
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,1960-12-31T00:00:00Z,1960,5.9
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,1961-12-31T00:00:00Z,1961,6.87
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,1962-12-31T00:00:00Z,1962,5.01
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,1963-12-31T00:00:00Z,1963,5.31
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,1964-12-31T00:00:00Z,1964,6.02
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,1965-12-31T00:00:00Z,1965,5.02
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,1966-12-31T00:00:00Z,1966,5.07
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,1967-12-31T00:00:00Z,1967,6.37
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,1968-12-31T00:00:00Z,1968,5.82
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,1969-12-31T00:00:00Z,1969,5.72
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,1970-12-31T00:00:00Z,1970,4.78
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,1971-12-31T00:00:00Z,1971,6.16
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,1972-12-31T00:00:00Z,1972,6.87
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,1973-12-31T00:00:00Z,1973,6.65
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,1974-12-31T00:00:00Z,1974,6.91
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,1975-12-31T00:00:00Z,1975,7.71
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,1976-12-31T00:00:00Z,1976,5.48
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,1977-12-31T00:00:00Z,1977,5.7
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,1978-12-31T00:00:00Z,1978,5.22
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,1979-12-31T00:00:00Z,1979,5.24
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,1980-12-31T00:00:00Z,1980,5.29
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,1981-12-31T00:00:00Z,1981,5.3
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,1982-12-31T00:00:00Z,1982,6.3
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,1983-12-31T00:00:00Z,1983,6.8
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,1984-12-31T00:00:00Z,1984,6.61
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,1985-12-31T00:00:00Z,1985,4.07
