Hemmalag,Bortalag,Hemmamål,Bortamål,Publik,Domare,Arena,Datum,Säsong
Malmö FF,Sundsvall,1,2,13747,NA,Stadion,2016-04-11,2016
Östersund,Häcken,2,1,4524,NA,Jämtkraft Arena,2016-04-15,2016
Helsingborg,Falkenberg,3,1,7064,NA,"Olympia, Helsingborg",2016-04-16,2016
IFK Norrköping,AIK,4,1,14150,NA,Östgötaporten,2016-04-17,2016
Jönköpings Södra,Gefle,1,0,3482,NA,Stadsparksvallen,2016-04-17,2016
IFK Göteborg,Kalmar,1,1,11871,NA,Gamla Ullevi,2016-04-17,2016
Elfsborg,Malmö FF,0,1,8512,NA,Borås Arena,2016-04-18,2016
Sundsvall,Örebro,3,1,3428,Bojan Pandzic,Norrporten Arena,2016-04-18,2016
Djurgården,Hammarby,1,3,24900,Andreas Ekberg,Tele2 Arena,2016-04-19,2016
Falkenberg,IFK Norrköping,2,1,2444,NA,Falkenbergs IP,2016-04-22,2016
Gefle,Östersund,0,0,3078,NA,Gavlevallen,2016-04-23,2016
Hammarby,Jönköpings Södra,1,1,24131,Martin Strömbergsson,Tele2 Arena,2016-04-23,2016
Malmö FF,Djurgården,1,0,18734,Mohammed Al-Hakim,Stadion,2016-04-24,2016
Häcken,Sundsvall,0,1,2022,NA,Bravida Arena,2016-04-24,2016
Örebro,IFK Göteborg,3,2,8451,Andreas Ekberg,Behrn Arena,2016-04-24,2016
AIK,Elfsborg,2,1,13422,NA,"Nationalarenan, Friends Arena",2016-04-25,2016
Kalmar,Helsingborg,2,3,4901,NA,Guldfågeln Arena,2016-04-25,2016
IFK Norrköping,Hammarby,3,1,15030,Kaspar Sjöberg,Östgötaporten,2016-04-26,2016
IFK Göteborg,Malmö FF,0,3,15748,Jonas Eriksson,Gamla Ullevi,2016-04-27,2016
Jönköpings Södra,Falkenberg,1,1,4236,NA,Stadsparksvallen,2016-04-27,2016
Östersund,Örebro,2,4,4099,"Patrik Eriksson, Gävle.",Jämtkraft Arena,2016-04-27,2016
Elfsborg,Djurgården,3,0,6402,NA,Borås Arena,2016-04-28,2016
Helsingborg,AIK,2,1,6642,Johan Hamlin,"Olympia, Helsingborg",2016-04-28,2016
Häcken,Gefle,6,1,1424,NA,Bravida Arena,2016-04-28,2016
Sundsvall,Kalmar,1,1,4028,NA,Norrporten Arena,2016-04-28,2016
Falkenberg,Elfsborg,1,2,3432,NA,Falkenbergs IP,2016-05-01,2016
Malmö FF,Häcken,3,0,15479,NA,Stadion,2016-05-01,2016
Hammarby,Sundsvall,1,1,23877,Stefan Johannesson,Tele2 Arena,2016-05-01,2016
Djurgården,Östersund,3,0,11275,Markus Strömbergsson,Tele2 Arena,2016-05-02,2016
Gefle,IFK Göteborg,2,6,3141,NA,Gavlevallen,2016-05-02,2016
AIK,Jönköpings Södra,0,0,12242,Mohamed Al-Hakim,"Nationalarenan, Friends Arena",2016-05-02,2016
Kalmar,Örebro,3,2,4408,"Martin Strömbergsson, Gävle.",Guldfågeln Arena,2016-05-02,2016
IFK Norrköping,Helsingborg,3,0,10411,NA,Östgötaporten,2016-05-02,2016
Elfsborg,Gefle,2,0,6016,NA,Borås Arena,2016-05-07,2016
Östersund,Kalmar,1,0,4797,NA,Jämtkraft Arena,2016-05-07,2016
Helsingborg,Malmö FF,2,1,11065,Martin Strömbergsson,"Olympia, Helsingborg",2016-05-08,2016
Jönköpings Södra,IFK Norrköping,0,2,6191,NA,Stadsparksvallen,2016-05-08,2016
Häcken,AIK,2,3,3514,Kaspar Sjöberg,Bravida Arena,2016-05-08,2016
Örebro,Hammarby,3,2,10362,Jonas Eriksson,Behrn Arena,2016-05-09,2016
IFK Göteborg,Djurgården,2,1,12214,Stefan Johannesson,Gamla Ullevi,2016-05-09,2016
Sundsvall,Falkenberg,2,1,4355,NA,Norrporten Arena,2016-05-09,2016
Jönköpings Södra,Helsingborg,1,1,5005,NA,Stadsparksvallen,2016-05-13,2016
Kalmar,Hammarby,1,1,10189,Kaspar Sjöberg,Guldfågeln Arena,2016-05-14,2016
Malmö FF,Gefle,3,0,13801,Magnus Lindgren,Stadion,2016-05-14,2016
Örebro,Elfsborg,1,0,6757,"Markus Strömbergsson, Gävle",Behrn Arena,2016-05-15,2016
IFK Norrköping,Sundsvall,3,1,9228,NA,Östgötaporten,2016-05-15,2016
Falkenberg,Häcken,1,4,2041,NA,Falkenbergs IP,2016-05-15,2016
Östersund,IFK Göteborg,2,0,7159,NA,Jämtkraft Arena,2016-05-15,2016
AIK,Djurgården,2,0,26109,NA,"Nationalarenan, Friends Arena",2016-05-16,2016
Helsingborg,Östersund,1,1,8262,NA,"Olympia, Helsingborg",2016-05-18,2016
Häcken,Jönköpings Södra,3,1,2513,NA,Bravida Arena,2016-05-18,2016
Sundsvall,Elfsborg,1,3,4530,NA,Norrporten Arena,2016-05-18,2016
Hammarby,Malmö FF,2,3,23617,Mohammed Al-Hakim,Tele2 Arena,2016-05-18,2016
Djurgården,Kalmar,0,3,11114,Andreas Ekberg,Tele2 Arena,2016-05-19,2016
Gefle,Örebro,0,4,2329,"Kristoffer Karlsson, Höganäs.",Gavlevallen,2016-05-19,2016
IFK Göteborg,IFK Norrköping,1,1,15024,NA,Gamla Ullevi,2016-05-19,2016
Falkenberg,AIK,2,3,3292,NA,Falkenbergs IP,2016-05-20,2016
Sundsvall,Östersund,5,0,7462,NA,Norrporten Arena,2016-05-21,2016
Örebro,IFK Norrköping,2,2,11407,"Kaspar Sjöberg, Malmö.",Behrn Arena,2016-05-22,2016
Kalmar,Häcken,1,1,4620,NA,Guldfågeln Arena,2016-05-22,2016
Djurgården,Helsingborg,3,0,13183,Glenn Nyberg,Tele2 Arena,2016-05-22,2016
Elfsborg,Jönköpings Södra,3,3,8577,NA,Borås Arena,2016-05-22,2016
Malmö FF,Falkenberg,2,0,15876,NA,Stadion,2016-05-23,2016
IFK Göteborg,Hammarby,2,1,13209,Stefan Johannesson,Gamla Ullevi,2016-05-23,2016
Gefle,AIK,0,1,5065,Mohammed Al-Hakim,Gavlevallen,2016-05-23,2016
AIK,Örebro,0,0,18882,Andreas Ekberg,"Nationalarenan, Friends Arena",2016-05-28,2016
Jönköpings Södra,Sundsvall,1,1,5079,NA,Stadsparksvallen,2016-05-28,2016
Östersund,Malmö FF,1,4,7739,NA,Jämtkraft Arena,2016-05-28,2016
Falkenberg,Kalmar,1,2,2528,NA,Falkenbergs IP,2016-05-29,2016
Helsingborg,IFK Göteborg,1,3,9267,NA,"Olympia, Helsingborg",2016-05-29,2016
Hammarby,Gefle,2,1,22215,Glenn Nyberg,Tele2 Arena,2016-05-29,2016
Häcken,Djurgården,3,1,4059,NA,Bravida Arena,2016-05-29,2016
IFK Norrköping,Elfsborg,0,0,14571,NA,Östgötaporten,2016-05-29,2016
Gefle,Falkenberg,1,2,2756,NA,Gavlevallen,2016-07-09,2016
Häcken,Hammarby,4,2,4518,NA,Bravida Arena,2016-07-09,2016
Djurgården,IFK Norrköping,0,1,13598,Martin Strömbergsson,Tele2 Arena,2016-07-09,2016
Östersund,Jönköpings Södra,1,0,4694,NA,Jämtkraft Arena,2016-07-10,2016
IFK Göteborg,Sundsvall,4,1,10146,NA,Gamla Ullevi,2016-07-10,2016
Kalmar,AIK,1,1,8599,NA,Guldfågeln Arena,2016-07-10,2016
Helsingborg,Elfsborg,2,4,7231,NA,"Olympia, Helsingborg",2016-07-10,2016
Malmö FF,Örebro,1,0,17526,Bojan Pandzic,Stadion,2016-07-11,2016
Sundsvall,Helsingborg,0,2,4728,NA,Norrporten Arena,2016-07-16,2016
IFK Norrköping,Östersund,3,3,7421,NA,Östgötaporten,2016-07-16,2016
Elfsborg,IFK Göteborg,1,1,13372,NA,Borås Arena,2016-07-17,2016
Örebro,Häcken,0,0,5878,NA,Behrn Arena,2016-07-17,2016
Hammarby,Falkenberg,3,3,18119,Andreas Ekberg,Tele2 Arena,2016-07-17,2016
AIK,Malmö FF,1,1,15847,Martin Strömbergsson,"Nationalarenan, Friends Arena",2016-07-17,2016
Jönköpings Södra,Djurgården,1,0,5811,Glenn Nyberg,Stadsparksvallen,2016-07-18,2016
Gefle,Kalmar,4,2,2409,NA,Gavlevallen,2016-07-18,2016
Falkenberg,Örebro,1,3,3035,NA,Falkenbergs IP,2016-07-23,2016
Malmö FF,Kalmar,1,1,14887,NA,Stadion,2016-07-23,2016
IFK Norrköping,Gefle,2,0,5779,NA,Östgötaporten,2016-07-23,2016
Hammarby,AIK,0,3,26618,NA,Tele2 Arena,2016-07-24,2016
Helsingborg,Häcken,0,2,6845,NA,"Olympia, Helsingborg",2016-07-24,2016
IFK Göteborg,Jönköpings Södra,2,1,12186,NA,Gamla Ullevi,2016-07-24,2016
Djurgården,Sundsvall,1,3,10157,Stefan Johannesson,Tele2 Arena,2016-07-25,2016
Elfsborg,Östersund,3,1,6759,NA,Borås Arena,2016-07-25,2016
Gefle,Hammarby,0,2,5884,Stefan Johannesson,Gavlevallen,2016-07-30,2016
Sundsvall,IFK Norrköping,1,2,4969,NA,Norrporten Arena,2016-07-30,2016
Östersund,Elfsborg,0,0,5217,NA,Jämtkraft Arena,2016-07-30,2016
Jönköpings Södra,IFK Göteborg,1,1,6247,NA,Stadsparksvallen,2016-07-31,2016
Häcken,Helsingborg,1,1,2612,NA,Bravida Arena,2016-07-31,2016
AIK,Falkenberg,2,0,10875,Robert Daradic,"Nationalarenan, Friends Arena",2016-07-31,2016
Kalmar,Djurgården,2,1,8336,Johan Hamlin,Guldfågeln Arena,2016-08-01,2016
Örebro,Malmö FF,0,3,9047,Markus Strömbergsson,Behrn Arena,2016-08-01,2016
Helsingborg,Gefle,2,3,6872,NA,"Olympia, Helsingborg",2016-08-05,2016
Falkenberg,Jönköpings Södra,0,5,2638,NA,Falkenbergs IP,2016-08-06,2016
Östersund,Sundsvall,4,0,8208,NA,Jämtkraft Arena,2016-08-06,2016
Malmö FF,AIK,2,0,20150,Markus Strömbergsson,Stadion,2016-08-07,2016
IFK Norrköping,Örebro,3,1,10265,NA,Östgötaporten,2016-08-07,2016
Hammarby,Kalmar,2,1,18134,NA,Tele2 Arena,2016-08-07,2016
Elfsborg,Häcken,2,4,6682,NA,Borås Arena,2016-08-07,2016
Djurgården,IFK Göteborg,3,1,13681,Andreas Ekberg,Tele2 Arena,2016-08-08,2016
IFK Norrköping,Häcken,3,1,7564,Mohammed Al-Hakim,Östgötaporten,2016-08-10,2016
IFK Göteborg,Falkenberg,2,0,9327,NA,Gamla Ullevi,2016-08-12,2016
Gefle,IFK Norrköping,0,0,2730,NA,Gavlevallen,2016-08-13,2016
AIK,Helsingborg,2,1,11693,Andreas Ekberg,"Nationalarenan, Friends Arena",2016-08-13,2016
Kalmar,Malmö FF,1,1,7212,NA,Guldfågeln Arena,2016-08-14,2016
Häcken,Örebro,0,1,1846,NA,Bravida Arena,2016-08-14,2016
Djurgården,Elfsborg,2,2,12514,NA,Tele2 Arena,2016-08-14,2016
Sundsvall,Hammarby,0,0,6048,Kristoffer Karlsson,Norrporten Arena,2016-08-15,2016
Jönköpings Södra,Östersund,1,1,4462,NA,Stadsparksvallen,2016-08-15,2016
Helsingborg,Kalmar,0,1,5835,NA,"Olympia, Helsingborg",2016-08-20,2016
Östersund,Djurgården,1,0,8027,NA,Jämtkraft Arena,2016-08-20,2016
Hammarby,IFK Göteborg,2,0,21848,Johan Hamlin,Tele2 Arena,2016-08-21,2016
Falkenberg,Gefle,1,1,1976,NA,Falkenbergs IP,2016-08-21,2016
Örebro,AIK,0,2,9517,NA,Behrn Arena,2016-08-21,2016
Malmö FF,Jönköpings Södra,4,1,16533,NA,Stadion,2016-08-22,2016
Elfsborg,Sundsvall,4,0,6071,NA,Borås Arena,2016-08-22,2016
Djurgården,Gefle,2,1,10925,NA,Tele2 Arena,2016-08-27,2016
Kalmar,IFK Norrköping,0,1,5854,NA,Guldfågeln Arena,2016-08-27,2016
Häcken,Östersund,3,1,2026,NA,Bravida Arena,2016-08-28,2016
AIK,Hammarby,0,0,30843,Stefan Johannesson,"Nationalarenan, Friends Arena",2016-08-28,2016
Jönköpings Södra,Elfsborg,1,0,4611,NA,Stadsparksvallen,2016-08-28,2016
Örebro,Falkenberg,3,2,5012,NA,Behrn Arena,2016-08-28,2016
IFK Göteborg,Helsingborg,2,0,9445,NA,Gamla Ullevi,2016-08-28,2016
Sundsvall,Malmö FF,0,1,4116,NA,Norrporten Arena,2016-08-28,2016
Elfsborg,Kalmar,1,1,6029,NA,Borås Arena,2016-09-10,2016
Falkenberg,Djurgården,1,2,3429,NA,Falkenbergs IP,2016-09-11,2016
Sundsvall,AIK,1,3,4578,NA,Norrporten Arena,2016-09-11,2016
IFK Norrköping,Jönköpings Södra,5,1,10705,NA,Östgötaporten,2016-09-11,2016
Östersund,Helsingborg,2,0,5137,NA,Jämtkraft Arena,2016-09-11,2016
Gefle,Häcken,2,2,2836,NA,Gavlevallen,2016-09-12,2016
Hammarby,Örebro,1,1,23212,Magnus Lindgren,Tele2 Arena,2016-09-12,2016
Malmö FF,IFK Göteborg,3,1,21273,Stefan Johannesson,Stadion,2016-09-12,2016
Örebro,Sundsvall,3,3,5889,Jonas Eriksson,Behrn Arena,2016-09-16,2016
Jönköpings Södra,Hammarby,0,1,6247,Mohammed Al-Hakim,Stadsparksvallen,2016-09-16,2016
Kalmar,Östersund,2,0,4856,NA,Guldfågeln Arena,2016-09-17,2016
Helsingborg,IFK Norrköping,1,2,6578,NA,"Olympia, Helsingborg",2016-09-18,2016
AIK,Gefle,1,0,13056,Kaspar Sjöberg,"Nationalarenan, Friends Arena",2016-09-18,2016
Elfsborg,Falkenberg,5,0,6261,NA,Borås Arena,2016-09-18,2016
Djurgården,Malmö FF,3,1,15370,NA,Tele2 Arena,2016-09-18,2016
Häcken,IFK Göteborg,2,2,6380,NA,Bravida Arena,2016-09-19,2016
Djurgården,AIK,0,3,22197,Stefan Johannesson,Tele2 Arena,2016-09-21,2016
Gefle,Jönköpings Södra,0,1,2292,NA,Gavlevallen,2016-09-21,2016
Kalmar,Falkenberg,3,0,4072,NA,Guldfågeln Arena,2016-09-21,2016
Helsingborg,Sundsvall,2,1,5873,NA,"Olympia, Helsingborg",2016-09-21,2016
Östersund,IFK Norrköping,0,2,5676,NA,Jämtkraft Arena,2016-09-21,2016
Malmö FF,Elfsborg,1,0,16597,NA,Stadion,2016-09-22,2016
IFK Göteborg,Örebro,3,2,8886,"Patrik Eriksson, Gävle.",Gamla Ullevi,2016-09-22,2016
Hammarby,Häcken,2,3,19111,Robert Daradic,Tele2 Arena,2016-09-22,2016
Jönköpings Södra,Kalmar,0,1,4469,NA,Stadsparksvallen,2016-09-24,2016
Elfsborg,AIK,2,2,8045,NA,Borås Arena,2016-09-25,2016
Malmö FF,Helsingborg,2,0,19918,Markus Strömbergsson,Stadion,2016-09-25,2016
Örebro,Gefle,2,2,5512,"Andreas Ekberg, Lund.",Behrn Arena,2016-09-26,2016
Falkenberg,Hammarby,0,2,2380,Kristoffer Karlsson,Falkenbergs IP,2016-09-26,2016
IFK Göteborg,Östersund,2,0,10211,NA,Gamla Ullevi,2016-09-26,2016
Sundsvall,Häcken,0,0,3658,NA,Norrporten Arena,2016-09-26,2016
IFK Norrköping,Djurgården,1,3,12682,NA,Östgötaporten,2016-09-26,2016
Helsingborg,Hammarby,0,1,7612,Mohammed Al-Hakim,"Olympia, Helsingborg",2016-09-30,2016
Sundsvall,Jönköpings Södra,3,1,3891,NA,Norrporten Arena,2016-10-01,2016
Häcken,Malmö FF,2,4,4752,NA,Bravida Arena,2016-10-01,2016
Östersund,Falkenberg,6,1,4622,NA,Jämtkraft Arena,2016-10-01,2016
Gefle,Elfsborg,2,2,2582,NA,Gavlevallen,2016-10-02,2016
Kalmar,IFK Göteborg,4,2,6195,NA,Guldfågeln Arena,2016-10-02,2016
Djurgården,Örebro,3,2,10683,"Bojan Pandzic, Göteborg.",Tele2 Arena,2016-10-02,2016
AIK,IFK Norrköping,6,0,17157,Jonas Eriksson,"Nationalarenan, Friends Arena",2016-10-02,2016
Falkenberg,Sundsvall,1,1,1412,NA,Falkenbergs IP,2016-10-15,2016
Örebro,Kalmar,2,1,4872,"Markus Strömbergsson, Gävle.",Behrn Arena,2016-10-16,2016
AIK,Östersund,2,0,13053,Molhammed Al-Hakim,"Nationalarenan, Friends Arena",2016-10-16,2016
IFK Norrköping,Malmö FF,1,2,15940,NA,Östgötaporten,2016-10-16,2016
Elfsborg,Helsingborg,1,0,5896,NA,Borås Arena,2016-10-16,2016
Jönköpings Södra,Häcken,1,1,4442,NA,Stadsparksvallen,2016-10-16,2016
IFK Göteborg,Gefle,3,3,8144,NA,Gamla Ullevi,2016-10-17,2016
Hammarby,Djurgården,4,2,28493,NA,Tele2 Arena,2016-10-17,2016
Gefle,Sundsvall,1,1,2379,NA,Gavlevallen,2016-10-21,2016
Malmö FF,Östersund,0,3,20297,NA,Stadion,2016-10-22,2016
Örebro,Helsingborg,0,0,4628,Jonas Eriksso n,Behrn Arena,2016-10-23,2016
IFK Norrköping,Falkenberg,2,1,5723,NA,Östgötaporten,2016-10-23,2016
Häcken,Kalmar,2,3,1722,NA,Bravida Arena,2016-10-23,2016
Hammarby,Elfsborg,2,4,21299,Martin Strömbergsson,Tele2 Arena,2016-10-23,2016
Djurgården,Jönköpings Södra,0,2,6724,NA,Tele2 Arena,2016-10-24,2016
IFK Göteborg,AIK,1,0,13132,NA,Gamla Ullevi,2016-10-24,2016
Falkenberg,Malmö FF,0,3,5120,NA,Falkenbergs IP,2016-10-26,2016
Kalmar,Gefle,0,1,4371,NA,Guldfågeln Arena,2016-10-26,2016
Elfsborg,IFK Norrköping,2,1,7920,NA,Borås Arena,2016-10-26,2016
Östersund,Hammarby,2,0,6664,Bojan Pandzic,Jämtkraft Arena,2016-10-26,2016
AIK,Häcken,2,1,8507,Jonas Eriksson,"Nationalarenan, Friends Arena",2016-10-27,2016
Helsingborg,Djurgården,1,2,7215,NA,"Olympia, Helsingborg",2016-10-27,2016
Sundsvall,IFK Göteborg,1,3,4213,NA,Norrporten Arena,2016-10-27,2016
Jönköpings Södra,Örebro,1,1,3173,NA,Stadsparksvallen,2016-10-27,2016
Kalmar,Sundsvall,2,0,4650,NA,Guldfågeln Arena,2016-10-30,2016
Hammarby,IFK Norrköping,1,1,20335,Kristoffer Karlsson,Tele2 Arena,2016-10-30,2016
Falkenberg,Helsingborg,1,4,2418,NA,Falkenbergs IP,2016-10-30,2016
Gefle,Malmö FF,1,0,3380,NA,Gavlevallen,2016-10-30,2016
Örebro,Östersund,1,5,4612,NA,Behrn Arena,2016-10-31,2016
Djurgården,Häcken,1,0,9434,NA,Tele2 Arena,2016-10-31,2016
IFK Göteborg,Elfsborg,2,2,12671,NA,Gamla Ullevi,2016-10-31,2016
Jönköpings Södra,AIK,0,0,4813,NA,Stadsparksvallen,2016-10-31,2016
AIK,Kalmar,3,1,12076,NA,"Nationalarenan, Friends Arena",2016-11-06,2016
Elfsborg,Örebro,2,1,6071,NA,Borås Arena,2016-11-06,2016
Helsingborg,Jönköpings Södra,2,0,8085,NA,"Olympia, Helsingborg",2016-11-06,2016
Häcken,Falkenberg,7,0,1437,NA,Bravida Arena,2016-11-06,2016
IFK Norrköping,IFK Göteborg,3,1,7483,NA,Östgötaporten,2016-11-06,2016
Sundsvall,Djurgården,2,5,3295,NA,Norrporten Arena,2016-11-06,2016
Östersund,Gefle,2,4,4778,NA,Jämtkraft Arena,2016-11-06,2016
Malmö FF,Hammarby,3,0,21719,Stefan Johannesson,Stadion,2016-11-06,2016
IFK Göteborg,Malmö FF,1,1,32129,Stefan Johannesson (Stockholm),Nya Ullevi[2][a],2017-04-01,2017
Halmstad,Östersund,1,0,5223,Jonas Eriksson (Sigtuna),Örjans vall,2017-04-01,2017
GIF Sundsvall,AFC Eskilstuna,3,1,3549,Glenn Nyberg (Borlänge),Idrottsparken,2017-04-02,2017
AIK,Häcken,0,0,26812,Andreas Ekberg (Bjärred),Friends Arena,2017-04-02,2017
IFK Norrköping,Hammarby,2,1,14533,Kristoffer Karlsson (Höganäs),Östgötaporten,2017-04-02,2017
Kalmar,Elfsborg,1,5,7223,Markus Strömbergsson (Gävle),Guldfågeln Arena,2017-04-03,2017
Djurgården,Sirius,0,2,26648,Mohammed Al-Hakim (Västerås),Tele2 Arena,2017-04-03,2017
Örebro,Jönköpings Södra,2,1,7073,Bojan Pandzic (Göteborg),Behrn Arena,2017-04-03,2017
AFC Eskilstuna,Örebro,2,2,4611,Mohammed Al-Hakim (Västerås),Tunavallen,2017-04-08,2017
Hammarby,Kalmar,1,1,30671,Kaspar Sjöberg (Malmö),Tele2 Arena,2017-04-09,2017
Östersund,IFK Norrköping,1,0,4644,Stefan Johanesson (Stockholm),Jämtkraft Arena,2017-04-09,2017
Sirius,IFK Göteborg,0,2,7248,Andreas Ekberg (Bjärred),Studenternas IP,2017-04-09,2017
Jönköpings Södra,Halmstad,2,2,4214,Magnus Lindgren (Göteborg),Stadsparksvallen,2017-04-09,2017
Häcken,Djurgården,0,0,5541,Glenn Nyberg (Borlänge),Bravida Arena,2017-04-09,2017
Elfsborg,AIK,1,2,9335,Johan Hamlin (Bro),Borås Arena,2017-04-10,2017
Malmö FF,GIF Sundsvall,2,0,18378,Patrik Eriksson (Gävle),Swedbank Stadion,2017-04-11,2017
Halmstad,Malmö FF,0,3,8297,Glenn Nyberg (Borlänge),Örjans vall,2017-04-16,2017
Örebro,Östersund,2,1,5947,Bojan Pandzic (Göteborg),Behrn Arena,2017-04-16,2017
GIF Sundsvall,Häcken,1,2,3055,Kristoffer Karlsson (Höganäs),Idrottsparken,2017-04-16,2017
Djurgården,Elfsborg,3,0,11435,Andreas Ekberg (Bjärred),Tele2 Arena,2017-04-16,2017
Kalmar,Jönköpings Södra,1,3,4698,Stefan Johannesson (Stockholm),Guldfågeln Arena,2017-04-17,2017
AIK,Hammarby,1,2,32318,Jonas Eriksson (Sigtuna),Friends Arena,2017-04-17,2017
IFK Norrköping,Sirius,0,2,7083,Kaspar Sjöberg (Malmö),Östgötaporten,2017-04-17,2017
IFK Göteborg,AFC Eskilstuna,1,1,10116,Patrik Eriksson (Gävle),Gamla Ullevi,2017-04-17,2017
Elfsborg,Örebro,3,0,4773,Kristoffer Karlsson (Höganäs),Borås Arena,2017-04-20,2017
Jönköpings Södra,AIK,2,1,5191,Andreas Ekberg (Bjärred),Stadsparksvallen,2017-04-22,2017
Hammarby,GIF Sundsvall,0,0,20557,Magnus Lindgren (Göteborg),Tele2 Arena,2017-04-23,2017
Häcken,IFK Norrköping,1,2,2593,Mohammed Al-Hakim (Västerås),Bravida Arena,2017-04-23,2017
AFC Eskilstuna,Halmstad,0,0,2086,Bojan Pandzic (Göteborg),Tunavallen,2017-04-23,2017
Östersund,IFK Göteborg,1,1,4317,Glenn Nyberg (Borlänge),Jämtkraft Arena,2017-04-23,2017
Sirius,Kalmar,3,0,1071,Markus Strömbergsson (Gävle),Gavlevallen[b],2017-04-24,2017
Malmö FF,Djurgården,3,2,19074,Jonas Eriksson (Sigtuna),Swedbank Stadion,2017-04-24,2017
AFC Eskilstuna,Östersund,1,3,1840,Magnus Lindgren (Göteborg),Tunavallen,2017-04-26,2017
GIF Sundsvall,Elfsborg,1,1,3031,Kaspar Sjöberg (Malmö),Idrottsparken,2017-04-26,2017
IFK Göteborg,Hammarby,1,1,12149,Stefan Johannesson (Stockholm),Gamla Ullevi,2017-04-26,2017
Örebro,Häcken,0,0,4823,Patrik Eriksson (Gävle),Behrn Arena,2017-04-26,2017
Halmstad,Djurgården,0,1,4690,Johan Hamlin (Bro),Örjans vall,2017-04-27,2017
IFK Norrköping,Jönköpings Södra,3,0,6214,Jonas Eriksson (Sigtuna),Östgötaporten,2017-04-27,2017
Kalmar,Malmö FF,0,0,5887,Bojan Pandzic (Göteborg),Guldfågeln Arena,2017-04-27,2017
AIK,Sirius,1,0,13517,Mohammed Al-Hakim (Västerås),Friends Arena,2017-04-27,2017
Hammarby,AFC Eskilstuna,4,0,20741,Kaspar Sjöberg (Malmö),Tele2 Arena,2017-04-29,2017
AIK,GIF Sundsvall,0,0,11927,Johan Hamlin (Bro),Friends Arena,2017-04-30,2017
Malmö FF,Örebro,2,1,17846,Glenn Nyberg (Borlänge),Swedbank Stadion,2017-05-01,2017
Kalmar,Halmstad,2,0,4840,Andreas Ekberg (Bjärred),Guldfågeln Arena,2017-05-01,2017
Sirius,Jönköpings Södra,1,1,4928,Kristoffer Karlssonn (Höganäs),Studenternas IP,2017-05-01,2017
Djurgården,IFK Norrköping,3,3,17104,Stefan Johannesson (Stockholm),Tele2 Arena,2017-05-01,2017
Häcken,IFK Göteborg,4,0,5676,Markus Strömbergsson (Gävle),Bravida Arena,2017-05-02,2017
Elfsborg,Östersund,4,4,5629,Patrik Eriksson (Gävle),Borås Arena,2017-05-02,2017
Häcken,Sirius,2,2,2336,Jonas Eriksson (Sigtuna),Bravida Arena,2017-05-05,2017
Halmstad,AIK,0,1,5438,Kristoffer Karlsson (Höganäs),Örjans vall,2017-05-06,2017
Östersund,Hammarby,2,1,6027,Bojan Pandzic (Borlänge),Jämtkraft Arena,2017-05-07,2017
IFK Göteborg,Kalmar,3,0,9282,Johan Hamlin (Bro),Gamla Ullevi,2017-05-07,2017
Örebro,Djurgården,0,4,9271,Magnus Lindgren (Göteborg),Behrn Arena,2017-05-07,2017
Jönköpings Södra,AFC Eskilstuna,1,0,3066,Robert Daradic (Helsingborg),Stadsparksvallen,2017-05-07,2017
IFK Norrköping,GIF Sundsvall,0,0,6110,Markus Strömbergsson (Gävle),Östgötaporten,2017-05-08,2017
Elfsborg,Malmö FF,1,2,8452,Stefan Johannesson (Stockholm),Borås Arena,2017-05-08,2017
AFC Eskilstuna,IFK Norrköping,1,2,3565,Glenn Nyberg (Borlänge),Tunavallen,2017-05-12,2017
AIK,Örebro,1,0,13236,Kaspar Sjöberg (Malmö),Friends Arena,2017-05-13,2017
Kalmar,Häcken,0,1,4738,Kristoffer Karlsson (Höganäs),Guldfågeln Arena,2017-05-13,2017
Halmstad,Hammarby,1,2,5201,Patrik Eriksson (Gävle),Örjans vall,2017-05-14,2017
GIF Sundsvall,Jönköpings Södra,0,0,4613,Martin Strömbergsson (Gävle),Idrottsparken,2017-05-14,2017
Malmö FF,Östersund,2,1,19887,Magnus Lindgren (Göteborg),Swedbank Stadion,2017-05-14,2017
Sirius,Elfsborg,4,1,4482,Bojan Pandzic (Göteborg),Studenternas IP,2017-05-14,2017
Djurgården,IFK Göteborg,1,0,16299,Andreas Ekberg (Bjärred),Tele2 Arena,2017-05-15,2017
IFK Norrköping,Kalmar,2,0,7452,Kristoffer Karlsson (Höganäs),Östgötaporten,2017-05-16,2017
Örebro,GIF Sundsvall,0,2,5144,Bojan Pandzic (Göteborg),Behrn Arena,2017-05-17,2017
Östersund,Sirius,0,0,4758,Glenn Nyberg (Borlänge),Jämtkraft Arena,2017-05-17,2017
Hammarby,Malmö FF,1,1,22456,Johan Hamlin (Bro),Tele2 Arena,2017-05-17,2017
Häcken,Halmstad,2,1,2238,Johan Krantz (Uppsala),Bravida Arena,2017-05-17,2017
Jönköpings Södra,Djurgården,1,1,5175,Patrik Eriksson (Gävle),Stadsparksvallen,2017-05-18,2017
Elfsborg,AFC Eskilstuna,2,1,4886,Magnus Lindgren (Göteborg),Borås Arena,2017-05-18,2017
Östersund,Kalmar,2,1,4465,Andreas Ekberg (Bjärred),Jämtkraft Arena,2017-05-20,2017
Halmstad,Örebro,0,0,3162,Martin Strömbergsson (Gävle),Örjans vall,2017-05-20,2017
AFC Eskilstuna,Häcken,0,0,1895,Markus Strömbergsson (Gävle),Tunavallen,2017-05-21,2017
