Kapitel,Paragraf,Ord
1,26,himlen
1,26,ovan
1,26,honom
1,26,hans
1,26,röst
1,26,blev
1,26,stark
1,26,och
1,26,väldig
1,26,och
1,26,han
1,26,förkunnade
1,26,guds
1,26,ära
1,27,han
1,27,var
1,27,en
1,27,inspirationens
1,27,man
1,27,han
1,27,övergav
1,27,det
1,27,skrivna
1,27,tankarna
1,27,kommo
1,27,ned
1,27,över
1,27,honom
1,27,som
1,27,en
1,27,flock
1,27,tama
1,27,duvor
1,27,han
1,27,kände
1,27,det
1,27,som
1,27,om
1,27,det
1,27,inte
1,27,var
1,27,han
1,27,själv
1,27,som
1,27,talade
1,27,men
1,27,han
1,27,'förstod
1,27,också
1,27,att
1,27,detta
1,27,var
1,27,det
1,27,högsta
1,27,på
1,27,jorden'
1,27,och
1,27,att
1,27,ingen
1,27,i
1,27,glans
1,27,och
1,27,härlighet
1,27,kunde
1,27,nå
1,27,högre
1,27,än
1,27,han
1,27,som
1,27,stod
1,27,där
1,27,och
1,27,förkunnade
1,27,guds
1,27,ära
1,28,så
1,28,länge
1,28,inspirationens
1,28,eldtunga
1,28,lågade
1,28,över
1,28,honom
1,28,talade
1,28,han
1,28,men
1,28,då
1,28,den
1,28,hade
1,28,slocknat
1,28,och
1,28,taket
1,28,hade
1,28,sänkt
1,28,sig
1,28,ned
1,28,över
1,28,kyrkan
1,28,och
1,28,golvet
1,28,kommit
1,28,upp
1,28,igen
1,28,långt
1,28,långt
1,28,nedifrån
1,28,då
1,28,böjde
1,28,han
1,28,sig
1,28,ned
1,28,och
1,28,grät
1,28,ty
1,28,han
1,28,tänkte
1,28,att
1,28,livet
1,28,hade
1,28,givit
1,28,honom
1,28,sin
1,28,bästa
1,28,stund
1,28,och
1,28,att
1,28,den
1,28,nu
1,28,var
1,28,förbi
1,29,efter
1,29,gudstjänsten
1,29,kom
1,29,visitation
1,29,och
1,29,kyrkostämma
1,29,biskopen
1,29,frågade
1,29,om
1,29,församlingen
1,29,hade
1,29,några
1,29,klagomål
1,29,mot
1,29,sin
1,29,präst
1,30,prästen
1,30,var
1,30,inte
1,30,längre
1,30,vred
1,30,och
1,30,trotsande
1,30,som
1,30,före
1,30,predikan
1,30,nu
1,30,blygdes
1,30,han
1,30,och
1,30,sänkte
1,30,huvudet
1,30,å
1,30,alla
1,30,de
1,30,eländiga
1,30,brännvinshistorier
1,30,som
1,30,nu
1,30,skulle
1,30,komma
1,31,men
1,31,det
1,31,kom
1,31,inga
1,31,det
1,31,var
1,31,helt
1,31,tyst
1,31,kring
1,31,det
1,31,stora
1,31,bordet
1,31,i
1,31,sockenstugan
1,32,prästen
1,32,såg
1,32,upp:
1,32,först
1,32,på
1,32,klockaren
1,32,nej
1,32,han
1,32,teg
1,32,så
1,32,på
1,32,kyrkvärdarna
1,32,så
1,32,på
1,32,de
1,32,myndiga
1,32,bönderna
1,32,och
1,32,brukspatronerna
1,32,de
1,32,tego
1,32,alla
1,32,de
1,32,höllo
1,32,läpparna
1,32,hårt
1,32,sammantryckta
1,32,och
1,32,sågo
1,32,smått
1,32,förlägna
1,32,ned
1,32,mot
1,32,bordet
1,33,»de
1,33,vänta
1,33,på
1,33,att
1,33,någon
1,33,skall
1,33,börja»
